headline,game_ID,Prompt
No. 24 Houston beats Jackson State 80-66 in OT to move to 3-0 in Big 12 play,401706926,Generate a sports headline for the game between Jackson State Tigers and Houston Cougars.
Johnson's game-winning shot sends Texas past New Mexico State 82-64,401727062,Generate a headline for game id 401727062
"Selden, Lanier lead way as Tennessee downs Gardner-Webb 80-66",401715335,"Generate a sports headline for the game between Tennessee and Gardner-Webb Runnin' Bulldogs. Key performers: Anthony Selden ([TEAM1]): [PTS] pts, [REB] reb, [AST] ast; Chaz Lanier ([TEAM2]): [PTS] pts, [REB] reb, [AST] ast."
Oscar Tshiebwe scores 24 points to lead No. 14 Kentucky past No. 20 Duke 80-77,N/A,"Generate a sports headline for the game between Kentucky Wildcats and Duke Blue Devils. Key performers: Oscar Tshiebwe (Kentucky): 24 pts, 15 reb, 2 ast; Kyle Filipowski (Duke): 22 pts, 8 reb, 3 ast; Sahvir Wheeler (Kentucky): 15 pts, 10 ast, 3 reb"
"Murray scores 24 points, No. 19 Ole Miss beats Long Island 80-64",401715317,"Generate a sports headline for the game between Long Island Sharks and Ole Miss Rebels. Key performers: Jaylen Murray (Ole Miss): 24 pts, 0 reb, 3 ast; Eric Acker (Long Island): 12 pts, 2 reb, 2 ast; Matthew Murrell (Ole Miss): 15 pts, 6 reb, 2 ast"
Kon Knueppel scores 15 to lead No. 15 Duke past Army 77-64,401706882,"Generate a sports headline for the game between Army Black Knights and Duke Blue Devils. Key performers: Jalen Rucker (Army): 17 pts, 1 reb, 2 ast; Josh Scovens (Army): 16 pts, 7 reb, 2 ast; Kon Knueppel (Duke): 15 pts, 2 reb, 2 ast"
Kohler's 20 lead Michigan State past Niagara 80-64,401706152,"Generate a sports headline for the game between Niagara Purple Eagles and Michigan State Spartans. Key performers: Jaxon Kohler (MSU): 20 pts, 13 reb; Olumide Adelodun (Niagara): 13 pts; Jahari Williamson (Niagara): 12 pts"
Texas A&M knocks off UCF 80-69,401722008,Generate a sports headline for the game with the UCF Knights and Texas A&M Aggies. Key performers: Darius Johnson (UCF): 24 pts; Zhuric Phelps (A&M): 18 pts; Wade Taylor IV (A&M): 16 pts
Pryce Sandfort scores 22 points as No. 12 Iowa beats Southern 80-64,401715379,Generate a flashy sports headline for the game between Southern Jaguars and Iowa Hawkeyes. Key performers: Pryce Sandfort (Iowa): 22 pts; Payton Sandfort (Iowa): 17 pts; Owen Freeman (Iowa): 15 pts
Phelps scores 18 as No. 14 Texas A&M beats East Texas (CA) 77-64,401715356,Generate a players spotlight headline for the game between East Texas A&M Lions and Texas A&M Aggies. Key performers: Zhuric Phelps (A&M): 18 pts; Henry Coleman III (A&M): 14 pts; Manny Obaseki (A&M): 14 pts